STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
COVID-THER-301,TS,1,,TITLE,Trial Title,Antiviral in Symptomatic COVID-19,,,,
COVID-THER-301,TS,1,,TPHASE,Trial Phase Classification,PHASE III TRIAL,,C15602,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,TBLIND,Trial Blinding Schema,DOUBLE BLIND,,C15228,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,TCNTRL,Control Type,PLACEBO,,C49648,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,INTMODEL,Intervention Model,PARALLEL,,C82639,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,RANDOM,Trial is Randomized,Y,,C49488,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,ADAPT,Adaptive Design,N,,C49487,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,PLANSUB,Planned Number of Subjects,100,,,,
COVID-THER-301,TS,1,,ACTSUB,Actual Number of Subjects,100,,,,
COVID-THER-301,TS,1,,NARMS,Planned Number of Arms,2,,,,
COVID-THER-301,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,,,
COVID-THER-301,TS,1,,AGEMAX,Planned Maximum Age of Subjects,P75Y,,,,
COVID-THER-301,TS,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,LENGTH,Trial Length,P29D,,,,
COVID-THER-301,TS,1,,SSTDTC,Study Start Date,2024-01-15,,,,
COVID-THER-301,TS,1,,TDIGRP,Diagnosis Group,Infectious Disease,,,SNOMED,2023-09-01
COVID-THER-301,TS,1,,TRT,Investigational Therapy or Treatment,ANTIVIRAL,,,UNII,
COVID-THER-301,TS,1,,STUDYID,STUDYID,COVID-THER-301,,,,
COVID-THER-301,TS,1,,THERAREA,Therapeutic Area,Infectious Disease,,,,
COVID-THER-301,TS,1,,SPONSOR,Clinical Study Sponsor,PHARMACEUTICAL COMPANY,,,,
COVID-THER-301,TS,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,,,,
COVID-THER-301,TS,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
COVID-THER-301,TS,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,,,,
COVID-THER-301,TS,1,,TTYPE,Trial Type,EFFICACY,,C49663,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
COVID-THER-301,TS,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,,,,
COVID-THER-301,TS,1,,FCNTRY,Planned Country of Investigational Sites,USA,,,,
COVID-THER-301,TS,1,,REGID,Registry Identifier,NCT00000000,,,,
COVID-THER-301,TS,1,,NCOHORT,Planned Number of Subject Cohorts,2,,,,
COVID-THER-301,TS,1,,DCUTDTC,Data Cutoff Date,2024-03-14,,,,
COVID-THER-301,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,,,,
COVID-THER-301,TS,1,,SENDTC,Study End Date,2024-04-13,,,,
COVID-THER-301,TS,1,,EXTTIND,Extension Trial Indicator,N,,C49487,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,PDPSTIND,Protocol Deviation Post Study Indicator,N,,C49487,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,PDSTIND,Protocol Deviation Study Indicator,N,,C49487,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,PIPIND,Protocol Investigative Product Indicator,N,,C49487,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,RDIND,Rare Disease Indicator,N,,C49487,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,ONGOSIND,Ongoing Study Indicator,N,,C49487,CDISC CT,2023-12-15
COVID-THER-301,TS,1,,SDTIGVER,SDTM Implementation Guide Version,3.4,,,,
COVID-THER-301,TS,1,,SDTMVER,SDTM Model Version,2.0,,,,
