STUDYID,DOMAIN,VISITNUM,VISIT,VISITDY,ARMCD,ARM,TVSTRL,TVENRL
GB001-ASTHMA-201,TV,1.0,SCREENING,-28,GB40,GB001 40mg QD,Study Day -28,End of SCREENING
GB001-ASTHMA-201,TV,1.0,SCREENING,-28,PBO,Placebo,Study Day -28,End of SCREENING
GB001-ASTHMA-201,TV,2.0,BASELINE,1,GB40,GB001 40mg QD,Study Day 1,End of BASELINE
GB001-ASTHMA-201,TV,2.0,BASELINE,1,PBO,Placebo,Study Day 1,End of BASELINE
GB001-ASTHMA-201,TV,3.0,WEEK 2,15,GB40,GB001 40mg QD,Study Day 15,End of WEEK 2
GB001-ASTHMA-201,TV,3.0,WEEK 2,15,PBO,Placebo,Study Day 15,End of WEEK 2
GB001-ASTHMA-201,TV,4.0,WEEK 4,29,GB40,GB001 40mg QD,Study Day 29,End of WEEK 4
GB001-ASTHMA-201,TV,4.0,WEEK 4,29,PBO,Placebo,Study Day 29,End of WEEK 4
GB001-ASTHMA-201,TV,5.0,WEEK 8,57,GB40,GB001 40mg QD,Study Day 57,End of WEEK 8
GB001-ASTHMA-201,TV,5.0,WEEK 8,57,PBO,Placebo,Study Day 57,End of WEEK 8
GB001-ASTHMA-201,TV,6.0,WEEK 12,85,GB40,GB001 40mg QD,Study Day 85,End of WEEK 12
GB001-ASTHMA-201,TV,6.0,WEEK 12,85,PBO,Placebo,Study Day 85,End of WEEK 12
GB001-ASTHMA-201,TV,7.0,FOLLOW-UP,113,GB40,GB001 40mg QD,Study Day 113,End of FOLLOW-UP
GB001-ASTHMA-201,TV,7.0,FOLLOW-UP,113,PBO,Placebo,Study Day 113,End of FOLLOW-UP
