STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
EMPEROR-HFPEF,TS,1,,TITLE,Trial Title,Empagliflozin in HFpEF,,,,
EMPEROR-HFPEF,TS,1,,TPHASE,Trial Phase Classification,PHASE III TRIAL,,C15602,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,STYPE,Study Type,INTERVENTIONAL,,C98388,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,TBLIND,Trial Blinding Schema,DOUBLE BLIND,,C15228,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,TCNTRL,Control Type,PLACEBO,,C49648,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,TINDTP,Trial Intent Type,TREATMENT,,C49656,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,INTMODEL,Intervention Model,PARALLEL,,C82639,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,INTTYPE,Intervention Type,DRUG,,C1909,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,RANDOM,Trial is Randomized,Y,,C49488,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,ADDON,Added on to Existing Treatments,N,,C49487,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,ADAPT,Adaptive Design,N,,C49487,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,PLANSUB,Planned Number of Subjects,100,,,,
EMPEROR-HFPEF,TS,1,,ACTSUB,Actual Number of Subjects,100,,,,
EMPEROR-HFPEF,TS,1,,NARMS,Planned Number of Arms,2,,,,
EMPEROR-HFPEF,TS,1,,HLTSUBJI,Healthy Subject Indicator,N,,C49487,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,,,,
EMPEROR-HFPEF,TS,1,,AGEMAX,Planned Maximum Age of Subjects,P75Y,,,,
EMPEROR-HFPEF,TS,1,,SEXPOP,Sex of Participants,BOTH,,C49636,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,LENGTH,Trial Length,P13M,,,,
EMPEROR-HFPEF,TS,1,,SSTDTC,Study Start Date,2024-01-15,,,,
EMPEROR-HFPEF,TS,1,,TDIGRP,Diagnosis Group,Cardiology,,,SNOMED,2023-09-01
EMPEROR-HFPEF,TS,1,,TRT,Investigational Therapy or Treatment,EMPAGLIFLOZIN,,,UNII,
EMPEROR-HFPEF,TS,1,,STUDYID,STUDYID,EMPEROR-HFPEF,,,,
EMPEROR-HFPEF,TS,1,,THERAREA,Therapeutic Area,Cardiology,,,,
EMPEROR-HFPEF,TS,1,,SPONSOR,Clinical Study Sponsor,PHARMACEUTICAL COMPANY,,,,
EMPEROR-HFPEF,TS,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,,,,
EMPEROR-HFPEF,TS,1,,OBJSEC,Trial Secondary Objective,To evaluate pharmacokinetics and immunogenicity,,,,
EMPEROR-HFPEF,TS,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,,,,
EMPEROR-HFPEF,TS,1,,TTYPE,Trial Type,EFFICACY,,C49663,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,,,MED-RT,2023-09-01
EMPEROR-HFPEF,TS,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,,,,
EMPEROR-HFPEF,TS,1,,FCNTRY,Planned Country of Investigational Sites,USA,,,,
EMPEROR-HFPEF,TS,1,,REGID,Registry Identifier,NCT00000000,,,,
EMPEROR-HFPEF,TS,1,,NCOHORT,Planned Number of Subject Cohorts,2,,,,
EMPEROR-HFPEF,TS,1,,DCUTDTC,Data Cutoff Date,2025-03-28,,,,
EMPEROR-HFPEF,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,,,,
EMPEROR-HFPEF,TS,1,,SENDTC,Study End Date,2025-04-27,,,,
EMPEROR-HFPEF,TS,1,,EXTTIND,Extension Trial Indicator,N,,C49487,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,PDPSTIND,Protocol Deviation Post Study Indicator,N,,C49487,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,PDSTIND,Protocol Deviation Study Indicator,N,,C49487,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,PIPIND,Protocol Investigative Product Indicator,N,,C49487,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,RDIND,Rare Disease Indicator,N,,C49487,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,ONGOSIND,Ongoing Study Indicator,N,,C49487,CDISC CT,2023-12-15
EMPEROR-HFPEF,TS,1,,SDTIGVER,SDTM Implementation Guide Version,3.4,,,,
EMPEROR-HFPEF,TS,1,,SDTMVER,SDTM Model Version,2.0,,,,
