STUDYID,DOMAIN,VISITNUM,VISIT,VISITDY,ARMCD,ARM,TVSTRL,TVENRL
EMPEROR-HFPEF,TV,1.0,SCREENING,-14,EMPA10,Empagliflozin 10mg QD,Study Day -14,End of SCREENING
EMPEROR-HFPEF,TV,1.0,SCREENING,-14,PBO,Placebo,Study Day -14,End of SCREENING
EMPEROR-HFPEF,TV,2.0,RANDOMIZATION,1,EMPA10,Empagliflozin 10mg QD,Study Day 1,End of RANDOMIZATION
EMPEROR-HFPEF,TV,2.0,RANDOMIZATION,1,PBO,Placebo,Study Day 1,End of RANDOMIZATION
EMPEROR-HFPEF,TV,3.0,WEEK 4,29,EMPA10,Empagliflozin 10mg QD,Study Day 29,End of WEEK 4
EMPEROR-HFPEF,TV,3.0,WEEK 4,29,PBO,Placebo,Study Day 29,End of WEEK 4
EMPEROR-HFPEF,TV,4.0,WEEK 12,85,EMPA10,Empagliflozin 10mg QD,Study Day 85,End of WEEK 12
EMPEROR-HFPEF,TV,4.0,WEEK 12,85,PBO,Placebo,Study Day 85,End of WEEK 12
EMPEROR-HFPEF,TV,5.0,WEEK 24,169,EMPA10,Empagliflozin 10mg QD,Study Day 169,End of WEEK 24
EMPEROR-HFPEF,TV,5.0,WEEK 24,169,PBO,Placebo,Study Day 169,End of WEEK 24
EMPEROR-HFPEF,TV,6.0,WEEK 36,253,EMPA10,Empagliflozin 10mg QD,Study Day 253,End of WEEK 36
EMPEROR-HFPEF,TV,6.0,WEEK 36,253,PBO,Placebo,Study Day 253,End of WEEK 36
EMPEROR-HFPEF,TV,7.0,WEEK 52,365,EMPA10,Empagliflozin 10mg QD,Study Day 365,End of WEEK 52
EMPEROR-HFPEF,TV,7.0,WEEK 52,365,PBO,Placebo,Study Day 365,End of WEEK 52
EMPEROR-HFPEF,TV,8.0,FOLLOW-UP,395,EMPA10,Empagliflozin 10mg QD,Study Day 395,End of FOLLOW-UP
EMPEROR-HFPEF,TV,8.0,FOLLOW-UP,395,PBO,Placebo,Study Day 395,End of FOLLOW-UP
