STUDYID,DOMAIN,VISITNUM,VISIT,VISITDY,ARMCD,ARM,TVSTRL,TVENRL
VISION-NSCLC,aaa,1.0,SCREENING,-28,TEP500,Tepotinib 500mg QD,Study Day -28,End of SCREENING
VISION-NSCLC,aaa,2.0,C1D1,1,TEP500,Tepotinib 500mg QD,Study Day 1,End of C1D1
VISION-NSCLC,aaa,3.0,C1D15,15,TEP500,Tepotinib 500mg QD,Study Day 15,End of C1D15
VISION-NSCLC,aaa,4.0,C2D1,29,TEP500,Tepotinib 500mg QD,Study Day 29,End of C2D1
VISION-NSCLC,aaa,5.0,C3D1,57,TEP500,Tepotinib 500mg QD,Study Day 57,End of C3D1
VISION-NSCLC,aaa,6.0,C4D1,85,TEP500,Tepotinib 500mg QD,Study Day 85,End of C4D1
VISION-NSCLC,aaa,7.0,C6D1,141,TEP500,Tepotinib 500mg QD,Study Day 141,End of C6D1
VISION-NSCLC,aaa,8.0,EOT,169,TEP500,Tepotinib 500mg QD,Study Day 169,End of EOT
VISION-NSCLC,aaa,9.0,FOLLOW-UP,199,TEP500,Tepotinib 500mg QD,Study Day 199,End of FOLLOW-UP
VISION-NSCLC,INVALID,1.0,SCREENING,-28,TEP500,Tepotinib 500mg QD,Study Day -28,End of SCREENING
VISION-NSCLC,INVALID,2.0,C1D1,1,TEP500,Tepotinib 500mg QD,Study Day 1,End of C1D1
VISION-NSCLC,INVALID,3.0,C1D15,15,TEP500,Tepotinib 500mg QD,Study Day 15,End of C1D15
VISION-NSCLC,INVALID,4.0,C2D1,29,TEP500,Tepotinib 500mg QD,Study Day 29,End of C2D1
VISION-NSCLC,INVALID,5.0,C3D1,57,TEP500,Tepotinib 500mg QD,Study Day 57,End of C3D1
VISION-NSCLC,INVALID,6.0,C4D1,85,TEP500,Tepotinib 500mg QD,Study Day 85,End of C4D1
VISION-NSCLC,INVALID,7.0,C6D1,141,TEP500,Tepotinib 500mg QD,Study Day 141,End of C6D1
VISION-NSCLC,INVALID,8.0,EOT,169,TEP500,Tepotinib 500mg QD,Study Day 169,End of EOT
VISION-NSCLC,INVALID,9.0,FOLLOW-UP,199,TEP500,Tepotinib 500mg QD,Study Day 199,End of FOLLOW-UP
