STUDYID,DOMAIN,TSSEQ,TSGRPID,TSPARMCD,TSPARM,TSVAL,TSVALNF,TSVALCD,TSVCDREF,TSVCDVER
VISION-NSCLC,TS,1,,TITLE,Trial Title,Tepotinib in METex14 NSCLC,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,TPHASE,Trial Phase Classification,PHASE II TRIAL,ZZZ_INVALID,C15601,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,STYPE,Study Type,INTERVENTIONAL,ZZZ_INVALID,C98388,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,TBLIND,Trial Blinding Schema,DOUBLE BLIND,ZZZ_INVALID,C15228,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,TINDTP,Trial Intent Type,TREATMENT,ZZZ_INVALID,C49656,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,INTMODEL,Intervention Model,PARALLEL,ZZZ_INVALID,C82639,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,INTTYPE,Intervention Type,DRUG,ZZZ_INVALID,C1909,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,RANDOM,Trial is Randomized,Y,ZZZ_INVALID,C49488,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,ADDON,Added on to Existing Treatments,N,ZZZ_INVALID,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,ADAPT,Adaptive Design,N,ZZZ_INVALID,C49487,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,PLANSUB,Planned Number of Subjects,100,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,NARMS,Planned Number of Arms,1,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,AGEMIN,Planned Minimum Age of Subjects,P18Y,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,AGEMAX,Planned Maximum Age of Subjects,P75Y,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,SEXPOP,Sex of Participants,BOTH,ZZZ_INVALID,C49636,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,LENGTH,Trial Length,P32W,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,SSTDTC,Study Start Date,2024-01-15,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,TDIGRP,Diagnosis Group,Oncology,ZZZ_INVALID,,SNOMED,2023-09-01
VISION-NSCLC,TS,1,,TRT,Investigational Therapy or Treatment,TEPOTINIB,ZZZ_INVALID,,UNII,
VISION-NSCLC,TS,1,,STUDYID,STUDYID,VISION-NSCLC,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,SPONSOR,Clinical Study Sponsor,PHARMACEUTICAL COMPANY,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,OBJPRIM,Trial Primary Objective,To evaluate the efficacy and safety of the investigational treatment,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,OUTMSPRI,Primary Outcome Measure,Change from baseline in primary endpoint,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,TTYPE,Trial Type,EFFICACY,ZZZ_INVALID,C49663,CDISC CT,2023-12-15
VISION-NSCLC,TS,1,,PCLAS,Pharmacologic Class,MONOCLONAL ANTIBODY,ZZZ_INVALID,,MED-RT,2023-09-01
VISION-NSCLC,TS,1,,STOPRULE,Study Stop Rules,Study may be stopped for safety concerns per DMC recommendation,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,FCNTRY,Planned Country of Investigational Sites,USA,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,REGID,Registry Identifier,NCT00000000,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,DCUTDTC,Data Cutoff Date,2024-09-27,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,DCUTDESC,Data Cutoff Description,Final database lock,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,SENDTC,Study End Date,2024-10-27,ZZZ_INVALID,,,
VISION-NSCLC,TS,1,,ONGOSIND,Ongoing Study Indicator,N,ZZZ_INVALID,C49487,CDISC CT,2023-12-15
