error_id,rule_id,status,domain,USUBJID,row_index,primitive,variables_modified,re_derived,failure_reason
INJ-SD2234-TS-001,SD2234,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""ACTSUB"", ""injected"": ""(row deleted)""}}",,
INJ-SD2235-TS-001,SD2235,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""HLTSUBJI"", ""injected"": ""(row deleted)""}}",,
INJ-SD2273-TS-001,SD2273,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""EXTTIND"", ""injected"": ""(row deleted)""}}",,
INJ-SD2274-TS-001,SD2274,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""NCOHORT"", ""injected"": ""(row deleted)""}}",,
INJ-SD2275-TS-001,SD2275,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""OBJSEC"", ""injected"": ""(row deleted)""}}",,
INJ-SD2276-TS-001,SD2276,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""PDPSTIND"", ""injected"": ""(row deleted)""}}",,
INJ-SD2277-TS-001,SD2277,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""PDSTIND"", ""injected"": ""(row deleted)""}}",,
INJ-SD2278-TS-001,SD2278,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""PIPIND"", ""injected"": ""(row deleted)""}}",,
INJ-SD2279-TS-001,SD2279,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""RDIND"", ""injected"": ""(row deleted)""}}",,
INJ-SD2280-TS-001,SD2280,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""SDTIGVER"", ""injected"": ""(row deleted)""}}",,
INJ-SD2281-TS-001,SD2281,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""SDTMVER"", ""injected"": ""(row deleted)""}}",,
INJ-SD2282-TS-001,SD2282,injected,TS,,,delete_row,"{""TSPARMCD"": {""original"": ""THERAREA"", ""injected"": ""(row deleted)""}}",,
INJ-SD2283-TS-001,SD2283,injected,TS,,0,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-002,SD2283,injected,TS,,1,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-003,SD2283,injected,TS,,2,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-004,SD2283,injected,TS,,3,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-005,SD2283,injected,TS,,4,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-006,SD2283,injected,TS,,5,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-007,SD2283,injected,TS,,6,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-008,SD2283,injected,TS,,7,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-009,SD2283,injected,TS,,8,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-010,SD2283,injected,TS,,9,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-011,SD2283,injected,TS,,10,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-012,SD2283,injected,TS,,11,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-013,SD2283,injected,TS,,12,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-014,SD2283,injected,TS,,13,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-015,SD2283,injected,TS,,14,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-016,SD2283,injected,TS,,15,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-017,SD2283,injected,TS,,16,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-018,SD2283,injected,TS,,17,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-019,SD2283,injected,TS,,18,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-020,SD2283,injected,TS,,19,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-021,SD2283,injected,TS,,20,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-022,SD2283,injected,TS,,21,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-023,SD2283,injected,TS,,22,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-024,SD2283,injected,TS,,23,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-025,SD2283,injected,TS,,24,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-026,SD2283,injected,TS,,25,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-027,SD2283,injected,TS,,26,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-028,SD2283,injected,TS,,27,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-029,SD2283,injected,TS,,28,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-030,SD2283,injected,TS,,29,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-031,SD2283,injected,TS,,30,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
INJ-SD2283-TS-032,SD2283,injected,TS,,31,invalid_codelist,"{""TSVALNF"": {""original"": """", ""injected"": ""ZZZ_INVALID""}}",,
